timestamp, name, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/22 01:32:39.452, NVIDIA GeForce RTX 4090, 0 %, 118 MiB, 41.05 W
2026/09/22 01:32:40.454, NVIDIA GeForce RTX 4090, 0 %, 118 MiB, 40.57 W
2026/09/22 01:32:41.455, NVIDIA GeForce RTX 4090, 0 %, 933 MiB, 56.56 W
2026/09/22 01:32:42.455, NVIDIA GeForce RTX 4090, 0 %, 933 MiB, 93.74 W
2026/09/22 01:32:43.455, NVIDIA GeForce RTX 4090, 0 %, 933 MiB, 90.21 W
2026/09/22 01:32:44.455, NVIDIA GeForce RTX 4090, 0 %, 933 MiB, 78.12 W
2026/09/22 01:32:45.456, NVIDIA GeForce RTX 4090, 0 %, 933 MiB, 78.55 W
2026/09/22 01:32:46.456, NVIDIA GeForce RTX 4090, 0 %, 539 MiB, 78.40 W
2026/09/22 01:32:47.456, NVIDIA GeForce RTX 4090, 0 %, 1138 MiB, 79.69 W
2026/09/22 01:32:48.456, NVIDIA GeForce RTX 4090, 0 %, 1161 MiB, 80.47 W
2026/09/22 01:32:49.456, NVIDIA GeForce RTX 4090, 0 %, 1200 MiB, 78.35 W
2026/09/22 01:32:50.457, NVIDIA GeForce RTX 4090, 8 %, 3355 MiB, 79.62 W
2026/09/22 01:32:51.457, NVIDIA GeForce RTX 4090, 0 %, 3355 MiB, 78.27 W
2026/09/22 01:32:52.458, NVIDIA GeForce RTX 4090, 3 %, 5621 MiB, 78.37 W
2026/09/22 01:32:53.458, NVIDIA GeForce RTX 4090, 0 %, 5733 MiB, 79.75 W
2026/09/22 01:32:54.458, NVIDIA GeForce RTX 4090, 28 %, 5733 MiB, 90.26 W
2026/09/22 01:32:55.458, NVIDIA GeForce RTX 4090, 30 %, 5733 MiB, 91.51 W
2026/09/22 01:32:56.458, NVIDIA GeForce RTX 4090, 0 %, 7224 MiB, 85.81 W
2026/09/22 01:32:57.459, NVIDIA GeForce RTX 4090, 33 %, 7224 MiB, 94.25 W
2026/09/22 01:32:58.459, NVIDIA GeForce RTX 4090, 41 %, 7224 MiB, 115.64 W
2026/09/22 01:32:59.459, NVIDIA GeForce RTX 4090, 28 %, 7224 MiB, 113.58 W
2026/09/22 01:33:00.459, NVIDIA GeForce RTX 4090, 31 %, 7224 MiB, 99.92 W
2026/09/22 01:33:01.459, NVIDIA GeForce RTX 4090, 20 %, 7224 MiB, 87.75 W
2026/09/22 01:33:02.460, NVIDIA GeForce RTX 4090, 15 %, 7224 MiB, 87.09 W
2026/09/22 01:33:03.460, NVIDIA GeForce RTX 4090, 35 %, 2773 MiB, 93.27 W
